week_start_utc,provider,model,calls,errors,cost_usd,first_call_at,last_call_at
2026-05-25,segmind,seedance-2.0-fast,315,27,532.9,2026-05-25T05:17:09.938279+00:00,2026-05-31T13:52:12.505862+00:00
2026-05-11,segmind,seedance-2.0-fast,121,5,186.15,2026-05-11T06:36:26.816485+00:00,2026-05-13T04:41:39.099847+00:00
2026-05-18,segmind,seedance-2.0-fast,69,0,131.254,2026-05-20T10:53:48.136964+00:00,2026-05-24T07:57:32.354202+00:00
2026-05-04,segmind,seedance-2.0-fast,72,9,107.31,2026-05-07T14:45:41.786179+00:00,2026-05-09T12:08:04.864882+00:00
2026-04-27,vertex,vertex:veo-3.1-generate-001,51,0,77.2,2026-05-02T05:40:43.85248+00:00,2026-05-02T09:27:40.378436+00:00
2026-06-01,segmind,seedance-2.0-fast,49,2,70.08,2026-06-01T08:05:04.424655+00:00,2026-06-01T12:51:28.396329+00:00
2026-04-20,segmind,veo-3.1-fast,95,14,64.8,2026-04-21T11:33:17.736641+00:00,2026-04-24T07:48:55.061489+00:00
2026-04-20,segmind,seedance-2.0-fast,38,7,43.07,2026-04-21T09:09:06.712582+00:00,2026-04-24T08:38:59.663803+00:00
2026-04-27,vertex,vertex:veo-3.1-fast-generate-001,52,0,37.4,2026-05-01T08:53:39.670348+00:00,2026-05-02T12:05:58.510939+00:00
2026-05-25,google,gemini-3.1-flash-image-preview,670,0,26.8,2026-05-25T05:39:50.071972+00:00,2026-05-31T13:22:53.117702+00:00
2026-05-11,google,gemini-3.1-flash-image-preview,341,2,13.56,2026-05-13T10:53:34.41279+00:00,2026-05-16T10:34:34.711373+00:00
2026-04-13,segmind,veo-3.1-fast,30,14,12.8,2026-04-16T15:37:07.741193+00:00,2026-04-18T09:30:58.62714+00:00
2026-04-27,segmind,seedance-2.0-fast,9,0,11.68,2026-05-01T14:00:08.010329+00:00,2026-05-01T14:05:27.890075+00:00
2026-04-27,google,gemini-3-pro-image-preview,241,0,9.16,2026-04-27T11:54:40.713958+00:00,2026-05-02T12:07:42.123302+00:00
2026-04-20,google,gemini-3-pro-image-preview,255,6,9.03,2026-04-21T05:46:39.734201+00:00,2026-04-24T08:29:26.571423+00:00
2026-04-27,segmind,veo-3.1-fast,13,2,8.8,2026-04-30T07:33:34.898886+00:00,2026-05-02T06:03:07.62812+00:00
2026-05-11,segmind,nano-banana-2,264,31,7.22,2026-05-11T08:52:51.934812+00:00,2026-05-13T06:22:50.238633+00:00
2026-05-11,google,gemini-3-pro-image-preview,184,0,6.82,2026-05-12T07:43:30.751652+00:00,2026-05-16T10:09:22.07268+00:00
2026-05-25,google,gemini-3-pro-image-preview,183,0,6.54,2026-05-25T04:57:55.098031+00:00,2026-05-31T13:05:14.228025+00:00
2026-04-13,segmind,veo-3.1-fast-generate-preview,8,0,6.4,2026-04-14T05:56:47+00:00,2026-04-15T12:12:13+00:00
2026-04-13,google,gemini-3-pro-image-preview,137,0,5.3,2026-04-14T05:30:39+00:00,2026-04-18T12:19:07.150141+00:00
2026-05-18,google,gemini-3.1-flash-image-preview,110,2,4.32,2026-05-18T07:40:24.950785+00:00,2026-05-22T17:18:57.569601+00:00
2026-05-18,google,gemini-3-pro-image-preview,90,0,3.6,2026-05-22T10:24:38.271797+00:00,2026-05-24T07:50:08.184946+00:00
2026-04-13,segmind,veo-3.0-fast-generate-001,4,0,3.2,2026-04-15T14:13:31+00:00,2026-04-15T14:22:04+00:00
2026-04-13,segmind,veo-3.1-fast-generate-001,4,0,3.2,2026-04-16T04:27:09+00:00,2026-04-16T04:43:37+00:00
2026-06-01,google,gemini-3.1-flash-image-preview,45,0,1.8,2026-06-01T07:25:38.501834+00:00,2026-06-01T09:36:46.234465+00:00
2026-06-01,google,gemini-3-pro-image-preview,41,0,1.64,2026-06-01T06:40:28.028373+00:00,2026-06-01T08:37:12.307021+00:00
2026-05-04,segmind,veo-3.1-fast,2,0,1.6,2026-05-09T06:12:50.374723+00:00,2026-05-09T06:43:26.522331+00:00
2026-04-13,segmind,veo-3.1-generate-preview,1,0,1.6,2026-04-16T11:23:02.37459+00:00,2026-04-16T11:23:02.37459+00:00
2026-04-13,segmind,seedance-2.0-fast,9,8,1.46,2026-04-18T08:31:38.084051+00:00,2026-04-18T12:17:44.811865+00:00
2026-05-04,google,gemini-3-pro-image-preview,32,0,1.28,2026-05-07T10:02:53.589655+00:00,2026-05-09T06:51:33.869548+00:00
