song,project_id,provider,calls,errors,cost_usd,first_call_at,last_call_at
Sathamgathaye Sanathanaya,67e14b19-5e5c-4c87-bbc7-7d2512d67e0b,segmind,73,9,88.774,2026-05-08T07:49:41.569125+00:00,2026-05-12T12:59:11.763269+00:00
Heramba,31cb5e05-7684-4987-b175-48ec0451bbe2,segmind,59,10,86.724,2026-05-30T06:33:48.055858+00:00,2026-05-30T17:04:08.248926+00:00
Gajavadana Gananatha,8c91d143-1900-495a-9e79-9ddd65ae45c8,segmind,42,5,74.46,2026-05-29T13:17:16.329197+00:00,2026-05-30T10:03:57.539041+00:00
Om Kaara Padma Brundaya,67e97fb6-d8c7-4ffa-8a21-1fb7dbe44048,vertex,58,0,73.2,2026-05-02T08:30:46.607195+00:00,2026-05-02T12:05:58.510939+00:00
Sathyam Nyanam Anantham (1),a8741f9c-5fcc-4d8a-ba0a-fe00966c0531,segmind,41,6,70.372,2026-05-25T05:51:40.701715+00:00,2026-05-28T13:23:20.373992+00:00
Jnaana Chakshuse,ffee006a-482c-4777-8d5a-cfe96997315d,segmind,157,3,68.61,2026-05-12T07:50:11.376039+00:00,2026-05-13T04:41:39.099847+00:00
Sri Ganapathi Thaalam,4ac76eba-c2a5-4a97-ac74-423fd7cd8c58,segmind,44,1,61.32,2026-06-01T08:05:04.424655+00:00,2026-06-01T12:51:28.396329+00:00
Ganesha Suktam,daddab39-cf18-4a9a-8279-2127f20fdfaf,segmind,34,2,59.568,2026-06-04T07:28:53.841644+00:00,2026-06-04T11:01:26.147659+00:00
Sindura Vadana,b09fe455-0bcf-4879-8830-0e27f537785a,segmind,122,1,59.166,2026-06-05T09:42:19.630576+00:00,2026-06-05T12:41:56.942624+00:00
Lakshmi Ashtakam,60e8f1e4-f91f-41b5-8cb6-96359f47fa59,segmind,90,0,59.07,2026-06-07T17:21:33.705596+00:00,2026-06-07T20:09:38.581721+00:00
Om Anadhyantham,5512913d-9289-460d-80e6-478c85fbcc17,segmind,31,1,57.524,2026-05-07T14:45:41.786179+00:00,2026-05-29T15:59:10.513937+00:00
Om Gam Ganapathiyenamaha,58b80317-b5c9-4014-8436-5f66e132775e,segmind,117,46,56.328,2026-04-21T11:27:58.081498+00:00,2026-05-22T17:20:04.793962+00:00
Nirbhayaya Nirantwanthaya,092488bd-b2b0-4dce-9c8f-e8ce73c4546c,segmind,28,1,53.436,2026-05-25T08:49:33.846555+00:00,2026-05-28T15:26:59.071108+00:00
