month_utc,provider,model,calls,errors,cost_usd,first_call_at,last_call_at
2026-06,segmind,seedance-2.0-fast,573,37,1019.372,2026-06-01T08:05:04.424655+00:00,2026-06-07T20:09:38.581721+00:00
2026-05,segmind,seedance-2.0-fast,586,41,969.294,2026-05-01T14:00:08.010329+00:00,2026-05-31T13:52:12.505862+00:00
2026-04,segmind,veo-3.1-fast,136,28,86.4,2026-04-16T15:37:07.741193+00:00,2026-04-30T07:36:24.924012+00:00
2026-05,vertex,vertex:veo-3.1-generate-001,51,0,77.2,2026-05-02T05:40:43.85248+00:00,2026-05-02T09:27:40.378436+00:00
2026-04,segmind,seedance-2.0-fast,47,15,44.53,2026-04-18T08:31:38.084051+00:00,2026-04-24T08:38:59.663803+00:00
2026-05,vertex,vertex:veo-3.1-fast-generate-001,52,0,37.4,2026-05-01T08:53:39.670348+00:00,2026-05-02T12:05:58.510939+00:00
2026-06,segmind,nano-banana-2,649,3,20.83,2026-06-05T09:41:38.440146+00:00,2026-06-07T20:05:50.48928+00:00
2026-05,segmind,nano-banana-2,281,31,7.75,2026-05-08T07:49:41.569125+00:00,2026-05-13T06:22:50.238633+00:00
2026-04,segmind,veo-3.1-fast-generate-preview,8,0,6.4,2026-04-14T05:56:47+00:00,2026-04-15T12:12:13+00:00
2026-04,segmind,veo-3.0-fast-generate-001,4,0,3.2,2026-04-15T14:13:31+00:00,2026-04-15T14:22:04+00:00
2026-04,segmind,veo-3.1-fast-generate-001,4,0,3.2,2026-04-16T04:27:09+00:00,2026-04-16T04:43:37+00:00
2026-05,segmind,veo-3.1-fast,4,2,1.6,2026-05-02T06:03:06.377505+00:00,2026-05-09T06:43:26.522331+00:00
2026-04,segmind,veo-3.1-generate-preview,1,0,1.6,2026-04-16T11:23:02.37459+00:00,2026-04-16T11:23:02.37459+00:00
2026-04,vertex,vertex:veo-3.1-fast-generate-001,1,0,0.8,2026-04-24T08:23:10.481439+00:00,2026-04-24T08:23:10.481439+00:00
2026-04,segmind,veo-3.1,91,91,0,2026-04-15T09:12:38+00:00,2026-04-24T06:53:00.268962+00:00
2026-04,segmind,veo-3.0-fast,14,14,0,2026-04-16T11:24:42.554025+00:00,2026-04-18T08:28:04.350578+00:00
2026-04,segmind,seedance-2.0,3,3,0,2026-04-18T08:33:59.179841+00:00,2026-04-18T08:34:36.034044+00:00
2026-05,segmind,veo-3.1,2,2,0,2026-05-02T08:45:32.859166+00:00,2026-05-02T08:58:20.501202+00:00
2026-06,segmind,seedance-2.0,1,1,0,2026-06-02T14:39:44.366367+00:00,2026-06-02T14:39:44.366367+00:00
