week_start_utc,provider,calls,errors,cost_usd,first_call_at,last_call_at
2026-05-25,segmind,315,27,532.9,2026-05-25T05:17:09.938279+00:00,2026-05-31T13:52:12.505862+00:00
2026-05-11,segmind,385,36,193.37,2026-05-11T06:36:26.816485+00:00,2026-05-13T06:22:50.238633+00:00
2026-05-18,segmind,69,0,131.254,2026-05-20T10:53:48.136964+00:00,2026-05-24T07:57:32.354202+00:00
2026-04-27,vertex,103,0,114.6,2026-05-01T08:53:39.670348+00:00,2026-05-02T12:05:58.510939+00:00
2026-05-04,segmind,91,9,109.44,2026-05-07T14:45:41.786179+00:00,2026-05-09T12:08:04.864882+00:00
2026-04-20,segmind,144,32,107.87,2026-04-21T08:51:18.36954+00:00,2026-04-24T08:38:59.663803+00:00
2026-06-01,segmind,49,2,70.08,2026-06-01T08:05:04.424655+00:00,2026-06-01T12:51:28.396329+00:00
2026-05-25,google,855,2,33.36,2026-05-25T04:57:55.098031+00:00,2026-05-31T13:22:53.117702+00:00
2026-04-13,segmind,153,119,28.66,2026-04-14T05:56:47+00:00,2026-04-18T12:17:44.811865+00:00
2026-04-27,segmind,24,4,20.48,2026-04-30T07:33:34.898886+00:00,2026-05-02T08:58:20.501202+00:00
2026-05-11,google,529,2,20.42,2026-05-11T10:43:45.610444+00:00,2026-05-16T10:34:34.711373+00:00
2026-04-27,google,247,0,9.22,2026-04-27T10:06:45.999952+00:00,2026-05-02T12:07:42.123302+00:00
2026-04-20,google,264,6,9.12,2026-04-21T05:32:19.356848+00:00,2026-04-24T08:29:26.571423+00:00
2026-05-18,google,201,2,7.93,2026-05-18T07:40:24.950785+00:00,2026-05-24T07:50:08.184946+00:00
2026-04-13,google,140,0,5.33,2026-04-14T05:30:39+00:00,2026-04-18T12:19:07.150141+00:00
2026-06-01,google,86,0,3.44,2026-06-01T06:40:28.028373+00:00,2026-06-01T09:36:46.234465+00:00
2026-05-04,google,33,0,1.29,2026-05-07T10:02:53.589655+00:00,2026-05-09T06:51:33.869548+00:00
2026-04-20,vertex,1,0,0.8,2026-04-24T08:23:10.481439+00:00,2026-04-24T08:23:10.481439+00:00
